content_names,content_dates,content_hits,content_coms
98,2017-05-26 18:04:00,14,"ㅡ강지혜님 제보ㅡ

안녕하세요 미디어출판학과가 이번에 25주년을 맞아 졸업전시회를 서일대학교 호천관에서 하게됐습니다!! 목요일에 시작해 화요일까지하는 전시니깐요 다들 오셔서 구경많이 해주세요~~다양한 체험도 있습니다!! :] 김현태 저 문구가 진짜 멋있는 거 같아 :] 흠냐륑 :] 이지형 친구들 데리고와라 :] 이진우오실?? :] 갈래 :] 데리고가겠습니당 :] "
99,2017-05-26 18:03:07,0,"ㅡ익명제보ㅡ

오늘 5시쯤에 친구분이랑 정문으로 내려오신 무슨과인지는모르겠는데 머리단발에 염색하셨고 하니닮으시고 노란색상의입으신 여자분 성함좀 알수있을까요~~????관심있습니다"
100,2017-05-26 17:07:46,7,"ㅡ카페먼스제보ㅡ

카페먼스 텀블러 선착순 100명중 49명 텀블러 받으러 오세요~! :] 박소희이것좀받아줘 :] 곽명수 형 제껀요..? :] 나꺼. 냄겨뒁 :] 장현우 야 이것 좀 받아줭 :] 표형우 달려..? :] ㅅㅂ 오ㅑ 지금이냐 :] 나지금 카페먼스옆쪽 밥풀에서 혼밥중 :] 야 페북보다가 모르고 환승 못찍었잖나 ;;;; :] ㅋㅋ ㅂㅅ :] 아 돈 아까워버리에 :] 조민지 갖고싶어 :] 받아줘 :] 이미 집임 :] 시불... :] 이거 스탬프10개모아야댐 :] 아 갈걸 제기랄 :] 류무룩 :] 제 것도? :] 곽명수 제꺼 잇어오????????? :] 뒷북 ㄴㄴ :] 저 버노랑이름 써놧는데....저한테 왜그래여...밍 :] 제것도!!"
101,2017-05-26 16:56:28,0,"ㅡ익명제보ㅡ

유교과 임x희분 댓글좀달아주세요~! :] 이금희 이거 뭔가 너 삘이다"
102,2017-05-26 16:56:05,0,"ㅡ익명제보ㅡ

서일인성교육 수업 목요일 마지막교시 들으시는분들 태그좀해주세요!!"
103,2017-05-26 16:51:43,2,"ㅡ익명제보ㅡ

군대가 얼마남지않아 군휴학을하려고하는데 기말시험 끝나는날 입영신청서들고
학과사무실가도 군휴학할수있나요?? :] 한지원 지원아기억나야 나 기말고사끝나는날 입영통지서 들고 등교한가.... :] 그게언제적이야.. :] 군 휴학은 언제든지 가능합니다."
104,2017-05-26 16:49:45,3,"ㅡ박상윤님 제보ㅡ

이거 분홍색 어제 아이비스에서 잃어버렸는데 가지고 있는분 댓글 달아주세요ㅜㅜ :] 김종호 :] ㅇㅇㅇㅇㅇ저거찾아야댸 :] ㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋ :] 노답 :] 이거 카운터에있어요 :] 관종 :] ㅠㅠㅠ 감사합니다 :] 개관종 노덥"
105,2017-05-26 16:49:02,2,"ㅡ익명제보ㅡ

야간 필수교양 김수현교수님 7시꺼 들으시는분들 6월 8일까지!!
☞과제1:커리어로드맵
☞ 과제2:클럽빼고 ex)놀이동산,영화관,전시회,뮤지컬,연극 등 문화생활 즐길수있는 활동 5월 26일부터 6월 7일까지 활동하시고
 1.기한내에 갔다온 티켓
 2.그곳에서의 인증샷(영화는 영화다끝나고 글씨올라갈때 그앞에서 찍으셔야 합니다!)
 3.소감문(장수제한없음) 이렇게 출력해서 꼭 6월 8일까지 가져오셔야 합니다! :] 신민철 :] 유지원 ? :] 들었어... :] 난....ㅋㅋㅋㅋㅋ감상문은없었는뎈ㅋㅋㅋㅋ :] ㅋㅋ아에반데이거 :] 장한나 우리..? :] 왜 이런 소리 못들음? :] 그러니깐 글 올린고 아닐까....하.. :] 김세민 나이거 8시꺼듣는데 나도 해가야하는거겠지...? :] 그러지안ㄹ을까.."
106,2017-05-26 16:47:46,8,"ㅡ익명제보ㅡ

 xx과 주간 1학년 b반 일부학생들때문에 불쾌하게 수업 준비를 하네요 주의해주세요."
107,2017-05-26 12:05:48,0,"ㅡ익명제보ㅡ

오늘 3,4 교시 배양관 1층 수업이신것같은데요 !
xx과 3학년 C 반 이신것같습니다. 흰티입으시고 레깅스 입으신 긴머리 여성분 이름 알고싶습니다. 
진지하게 말입니다. 
건축과 학우님들 도와주세요 !"
108,2017-05-26 12:05:17,0,"ㅡ이현우님 제보ㅡ

서일인성교육 김용은교수님
감정은행계좌 어떻게 하는지 아시는 분 계시나요?
예입시기와 인출시기가 뭔지 잘 모르겠어요ㅠㅠ
구분엔 뭘 써야하죠..?
아시는분들 알려주시면 감사하겠습니다!!!"
109,2017-05-26 12:04:45,0,"ㅡ윤지현님 제보ㅡ

농협 주황색 카드 주우신분 있나요ㅠㅠㅠ
페메나 댓글 달아주세요ㅠㅠㅠㅠㅠㅠㅠㅠ
ㅜㅠㅠ퓨ㅠㅜㅠㅠㅍㅍ"
110,2017-05-26 12:04:27,8,"ㅡ장혜정님 제보ㅡ

어제 맛대박 아니면 서일대 정문에서 이 지갑 보신분 계신가요 주우셨다면 01032887398 이 번호로 연락부탁드려요.. 부탁드릴게요ㅠㅠ"
111,2017-05-26 10:40:41,2,"ㅡ이하늘님 제보ㅡ

오늘 루이까또즈 반지갑 호천관1층 에서 잃어버렸는데 혹시 주우신분계신가요?
 안에 민증있어요 980907 이하늘 입니다 ㅠㅠㅠ :] 안에들어있는 현금 안주셔도 되요 주우신분 페톡좀 부탁드려요? :] ㅠㅠㅠㅠㅠㅠㅠㅠ :] ㅜㅜ :] ㅜㅜㅜㅜㅜ"
112,2017-05-26 10:40:22,0,"ㅡ이기환님 제보ㅡ

혹시 서일관 201호에서 기환이꺼 라고 써져있는 아이폰 충전기 보신분 있나요 ㅠㅠ"
113,2017-05-26 10:40:07,1,"ㅡ익명제보ㅡ

병결로 결석하면 진단서 내서 교수님이 인정해주셔도 원래 전자출결사이트에서 결석으로 남아있나요??"
114,2017-05-26 10:39:53,0,"ㅡ익명제보ㅡ

이번 학기 군복무 마치고 복학할려는데 2학기 개강전 방학에 어디로가서 복학신청 해야하는지 알수 있을까요? :] 과사요 종합정보시스템으로도 할 수 있어요 :] 혹시 종합정보시스텡은 종강후 신청하는건가요 지금 하는건가요? 알수있을까요 :] 8월 1일부터 25일까지가 복학기간이에요 :] 캄사합니다!! :] 거기에 전역증 사진도 올리셔야해여 녜"
115,2017-05-26 09:00:15,3,"ㅡ익명제보ㅡ

유교과중에 체육대회때 유교과랑 전기과 합동으로 줄다리기했었는데 파란옷입고 팜플릿?같은거 들고 머리 양갈래였나?? 그러고 하얗고 이쁘게 생기셔서 전기유교 노래처럼 외치던 분 혹시 누군지 아시는 분 있나요~~~"
116,2017-05-26 08:41:45,1,"ㅡ익명제보ㅡ

10월에 군입대하는데 2학기 국가장학금 신청 해야되는건가요?? :] ㅇㄷ :] ㅇㄷ :] ㅠㅠ :] ㅋㅋㅋㄱㅋㅋㅋㅋ"
117,2017-05-25 23:55:21,2,"ㅡ익명제보ㅡ

4~5교시 수업였는데 출석오류인지 이제보니까 
4교시 결석 5교시 출석으로 되었어요ㅠㅠ
저는 이때 확실히 있었는데
다시 말씀드리면 정정해주실까요...ㅠㅠㅠㅠㅠ"
118,2017-05-25 23:41:38,10,"ㅡ익명제보ㅡ

안녕하세요 서일대 학우분들 중 혹시 인형기부 같이 하실 분 계신가요? 낡지않은 깨끗한 인형이면 되구요 인형뽑기 인형도 좋아요!!작년에 천사원으로 보낸 적 있어서 개별 리본 포장, 배송 꼼꼼히 해서 다른곳에 쓰지 않고 정직하게 보낼 예정입니다 관심 있으시면 댓글 달아주세요~ 페메드릴게요? :] 유진 나집에인형짱마눈뎅 :] 저요 ! 집에 인형 너무많아서 처리불가에요 ~~~~ 페메주세요 !! :] 정인수 우리집에있는아이들 다보낼까 :] 나두 ㅎㅎ :] 양봉이 가지고 놀아야지! :] 추종엽 어때? :] 강새은 이거 너지 딱 봐두...! :] 조용히해 :]  :] 좋기는 한데 11월 만됬어도 내가 기부했는데 아직때가아니야 :] ㅋㅋㅋㅋㅋㅋ이새깈ㅋㅋㅋ :] 11월에 다시쓰면 그때 기부할께요! :] 조연경 나도 인형 너무 많은데... :] 그러세야! :] 조호진 기부나해 :] 그지는그른거읍어요 :] 마음이쓰렉이네 :] 페매주세여~ :] 가진게돈뿐인분이 기부좀하시죠 :] 이규원 규원아 이거나 해 마음씨를 곱게써야 다음생에 바퀴벌레로 안태어나지 :] 흠 간만에 착한일이네 :] 인형두개밖에없떠내꺼기부하고와 :] 고민종 우리집 가조크를 몇명 보낼까 너무 공간차지함 :] 저요!! :] 나한테 기부해 :] 나한테 몇개 기부좀... 더줘더 :] 어디에쓰이나요!? :] ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ 웅 ㅎ ㄹ :] 앗싸!! :] Byoungjae Kim 흠 ㅎ :] 이선명 !!! :] 작은인형이지만 나누고싶습니다 페메주세요?? :] 조금만 더모으고 반에 뿌릴래ㅋㅋ :] 진유겸 :] 이기영 형 쓸데없이 인형 마니잇지아나?ㅋㅋ :] 어디다 사용되나요 :] 조오치~~ :] 박예진 연정임 좋은일에 써랑 ㅋㅋㅋㅋㅋ :] 김민재 :] 마윤재 ㄱ :] 안원희 :] ? ? ? 김효건 :] ㅠㅠ :] 페메주세여 :] 페메주세여 :] 조하늘 넣ㅎㅎㅎㅎ :] 이현정윤나라 기부해 :] 내추억들이야? :] 천사원이나 다른 아동 기관에 보낼 예정입니다? :] 아동 관련 기관에 보낼 예정입니다!! :] 페메보냈는데 확인해쥬세용~~ :] ㅇ아 어디에맡기면될까요!? :] 인형개많아요 :] 임지현고현정 :] 기부할까 ㅋ 인형 ㅋ :] 노지윤  인형기부나해볼까 ㅎㅎ :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :]  :] 페메 봐주세요!! :] 한 번 싹 정리해볼게.. :] 몇개안되지만 페메주세요 :] 저한테 주시면 됩니다! 혹시 시간 언제 괜찮으신가용 :] 페메 보냈습니다!"
119,2017-05-25 23:27:46,5,"ㅡ유지원님 제보ㅡ

진로설계상담 야간 김수현교수님 7시에 수업들으시는분 과제 언제내야 하는지 알려드릴게용 보강날인 !6월 8일 수업전까지! 내면 된답니다!!! 해당되는분들에게 전달해주세요! :] 어제 검사한 거 말하는 건가요??"
120,2017-05-25 23:26:39,1,"ㅡ익명제보(1)(2)ㅡ

(1) 전기과 이x희분 댓글좀달아주세요

(2) 오늘 전기유교단합나온 박x우 오빠 잘생겼어요 :] 박선우....? :] 김성룡 전기과 클라스 지려버리구~~ :] 와..선우형 지리네.. :] 선우찡 지려버렷다~ :] 전기과는 다른지! :] 아니 다르지! :] 키야 :] 우와 찬우 너 아니냐 ~~ ? :] 뭐야 누구야.... :] 실화냐 :] 음모아니지 :] 찬우겠지 ㅇㅅㅇ :] 그래서 찬우야 선우형이야 ㄴㄱ :] 이찬희 몽둥이4개든 이X희 등장바람 :] ㄷㄷ.. 등장 ㅋㅋㅋ이거뭐여"
121,2017-05-25 23:24:38,0,"ㅡ익명제보ㅡ

아이폰이신분 서일대 와이파이 로그인 창 뜨나요..? ㅠㅠ
전 연결하면 왜 로그인창이안뜨고 연결도 잘안될까요..?ㅠㅠ
로그인할라면 몇번이나 서일대와이파이 지우고 다시연결하고 그래야하는데.  ㅠㅠ"
122,2017-05-25 22:54:43,3,"ㅡ익명제보ㅡ

유교과 황x빈!! 관심있다는분 있는데 댓글좀 남겨주세요 :] 살포시) 저요 :] ??안돼.. :] 네. 유교과 황×빈 제꺼에요^^... 다들 접근 금지...^^...? :] 이찬희 잘못본거아니냐 ㅋㅋㅋㅋㅋㅋㅋ :] ㅋㅋㅋㅋㅋㅈㅅ"
123,2017-05-25 22:54:09,0,"ㅡ익명제보ㅡ

호천관에서 점심때쯤 나오셨어여
단발머리 주황색티 사랑합니더
덥다고 인상 쓰셔도 이뻐여어ㅠㅠㅠㅠㅠㅠㅠ근데 말을 못걸겠여ㅠㅠㅠㅠㅠㅠㅠ"
124,2017-05-25 21:36:17,33,"ㅡ김도은님 제보ㅡ

수요일 저녁 7시반쯤 정문에서 내려오는데
맘스터치옆에서 레크과 티입은 사람들이 4-5명쯤 된거같은데 그중 키작은 남자 한분이 건들건들 오시더니 장난식으로 번호 물어보시길래 안줬는데 그런 장난 다른분에겐 안치셨으면 좋겠네요 기분이 안좋습니다 :] 개핵찌질 :] ㅋㅋㅋㅋ어떤 놈이야 :] 에휴; :] 우상욱 :] 못배운듯 :] 김도은ㅋㅋㅋ대박 :] 차현석 혹시.. :] 난유경이번호아니면 안딴다 :] 어휴... :] ㅋ"
125,2017-05-25 21:35:37,4,"ㅡ익명제보ㅡ

소공과 신x범 여친있나요~ 없으면 저랑 좀 놀아주세요~~ :] 신성범 :] 허허 ㅡ :] 성범이 지려따 :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋ미친ㅋㅋㅋㅋ :] 원따봉 드립니다.. :]  :] 김민승 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미쳣나밬ㅋㅋㅋㅋ :] 도랐나ㅋㅋㅋㅋㅋㅋㅋㅋ :] 원 금지어.... :] 우성찬 너 인기없냐?ㅋㅋㅋㅋㅋ :] 쩌리야 ㅋㅋㅋ :] ㅋㅋㅋ"
126,2017-05-25 21:23:52,0,"ㅡ남미소님 제보ㅡ

지하1층 여자화장실에 파란색 반지갑 7시 15분쯤 두고 왔었는데요 수업끝나고 찾으러갔는데 없네요 ㅜㅠㅠ 혹시 파란색 반지갑 보관중이신분 꼭좀 연락부탁드립니다 사례하겠습니다 ㅠㅠ"
127,2017-05-25 21:23:38,0,"ㅡ이희선님 제보ㅡ

배양관앞에서 8시30분쯤 주웠어요 주인은 댓글이나 페메 주세요 :] 저에여 감사합니다 ㅠㅠ 페메 주세여 :]  :] 이희선 언니손 :] ?"
128,2017-05-25 21:22:21,16,"ㅡ익명제보ㅡ

서일대 앞에 라면과함께라면 너무 맛있어요 사장님도 너무 친절하시구 많이많이오세요~??
오늘 저녁 7시30분에 밥먹으러 왔는데 저희 옆에 계시던 여자3분과 남자1분 식사를 하시려면 조용히 옆에 테이블한테 피해,시비 걸지 마시구요 조용히 드시다가 가세요. 진짜 너무 기분이 나빴습니다. 본인들은 아실꺼예요 :] 라라사장님 천산데.. :] 임동은 :] 조광환 송승호 라라 ㄱ? :] ㅋㅋㅋ 생각난다 우리전용밥집이였는데 :] 맛있는데 ㅠㅠ 돈가스 먹고싶다 :] 돈까스랑 순두부였나 또 뭐가 맛있었지? :] ㅇㅈ :] 부대찌개가 갑이지 :] 부대찌개가 갑이지 :] 부대찌개가 갑이지 :] ㅋㅋㅋ얼마나갑이면 4개나 썼어 광환아 ㅋㅋㅋㅋ :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 안올라가길래 막눌렀어 :] 배근철김채민 :] 끌끌 ㅋㅋ 사장님 친절 ㅇㅈ :] 라함이 아니라 라라였어 :] ㅇㅎ"
129,2017-05-25 18:28:22,4, 
130,2017-05-25 18:15:00,0,"ㅡ이소미님 제보ㅡ

오늘 배양관 301호 왼쪽분단 뒤에서 두번째라인에 아이폰 충전기잭 라인프렌즈오리모양 두고왔는데 보신분 계시면 연락주세요ㅠㅠㅠㅠㅠ?? :] 여기로 주세요? :] 내가 확인해줄께~ :] ????역시 지낭형 :] 지금 301강의중이라...끝나면 확인하고 알려줄께~"
131,2017-05-25 18:14:28,0,"ㅡ익명제보ㅡ

혹시 당구동아리잇나요?
잇으면 들어갈려면 어떻게들어가나요? :] 폐지됬다고 들었어요"
132,2017-05-25 18:00:55,1,"ㅡ배성환님 제보ㅡ

안녕하세요 2학기 복학예정인 사람입니다 혹시 서일대 학생예비군 끝났나요? 아니면 2학기에도 학생예비군이 있는지 물어보고싶습니다 :] 학생 예비군은 과 마다 가는 날짜와 시기가 다릅니다. 1학기때 가는 과들은 끝났구요 2학기때 가는 과도 있어요.  과사에 여쭈어 보시는게 어떨까요 :] 감사합니다!"
133,2017-05-25 18:00:25,2,"ㅡ익명제보ㅡ

레드포차언제열어요?ㅜㅜ... :] 오후 6시쯤 오픈하는걸로 알고있어요~~~"
134,2017-05-25 17:55:22,0,"ㅡ익명제보ㅡ

호천관 704호에서 필통 찾았는데 댓글 달아주세요"
135,2017-05-25 17:55:21,0,"ㅡ권윤주님 제보ㅡ

지갑을 잃어버렸습니다ㅠㅠ 어디서 잃어버린건지 정확한 위치를 모르겠습니다ㅠㅠ 학생식당이나, 편의점 배양관에서 발견하신분 계시면 꼭 연락 부탁드릴게요ㅠㅠ 안에 카드랑 학생증 현금조금뿐이에요ㅠㅠ 사례꼭하겠습니다.. :] 발견하신분 01038830509 연락부탁드립니다?"
136,2017-05-25 17:50:33,0,"ㅡ익명제보ㅡ

교통카드 잃어버리신분 댓글남겨주세요~"
137,2017-05-25 17:49:14,0,"ㅡ우수민님 제보ㅡ

서일대 주변에 풋살장 젤 가까운곳 아시는분 있으신가요?!"
138,2017-05-25 17:48:43,0,"ㅡ익명제보ㅡ

언덕길에서 주웠습니다.댓글남겨주세요 :] 오서현 혹시 언니꺼...? :] 아낰ㅋㅋㅋㅋㅋ아니다. :] 가지고싶다격하게"
139,2017-05-25 17:35:11,0,"ㅡ익명제보ㅡ

6층 여자화장실에 두고가신분 배양관 1층 분실문센터에 맡겨놓을게요!"
140,2017-05-25 17:33:55,2,"ㅡ아이비스 피시방 제보ㅡ

아이비스 pc방 이벤트!!
이번 u-20 월드컵 16강 진출 이벤트 
오천원이상 충전하시면 종이를 드려요!!
이름 전화번호 예상스코어를 적어 추첨통에 넣어주시면 경기스코어를 맞추신분들을 대상으로 왕뚜껑과 1시간을 드립니다!! 많은 참여부탁드릴게요!!
대학생 삼천원이상 카페음료 서비스 이벤트 계속 진행중이에요!! 많이 와주세욥(충전하시고 카운터에서 문의해주세요!!^^)"
141,2017-05-25 17:33:07,0,"ㅡ코인조이 제보ㅡ

코인조이 보관중~ :] 정수지"
142,2017-05-25 13:04:25,1,"ㅡ익명제보ㅡ

배양관 204호에 누가 무선마우스 두고가셨어여 1층 학생 지원처에 맡겨둘께요 ! :] 강수진 멩멩? :] 나찾아써!!! 혜진이가맡아줘써?????"
143,2017-05-25 10:32:26,1,"ㅡ익명제보ㅡ

배양관 301호에서 주웠습니다
야간분이신거 같으니 배양관 1층 학생지원처에 맡기겠습니다"
144,2017-05-25 08:01:51,10,"ㅡ카페먼스 제보ㅡ

카페먼스 기다리고 기다리던 
구르미 버플 스무디 
목요일 부터 출시 합니다~ :] 권길환 너네 시음했던 음료들이네 :] 갸아악 :] 진짜 세상에서 제일 맛있어 :] "
145,2017-05-25 08:01:19,3,"ㅡ김태빈님 제보ㅡ

안녕하세요! 배양관 3층 315호실에서 5월17일 쯤에 외장하드를 두고 온거 같습니다...모양은 이렇게 생겼구요!
검은색 하드케이스에 담겨 있었습니다. 고등학교부터 모은 자료가 담겨 있습니다 ㅠ 가지고 계신분은 꼭 돌려주세요!
010-3352-5359 입니다! :] 소프트웨어공학과사무실에서 보관중입니다."
146,2017-05-25 08:00:22,20,"ㅡ탐스비어 제보ㅡ

안농하새오 탐스비어애오
어제 11시쭘? 아마 건축과인걸로 아는 남자두분 맥주드시러 오시면서 과자박스 같은거 가져오셨는데 그대로 두고가셨더라구여 혹시나 찾으실까봐영ㅇㅅㅇ 우리 먹으라고 두고가신거라면 혼또니 아리가또~~ 하지만 찾으러 오신다면 5시이후에 오세영 그때 오픈하니까여ㅎ 내일까지 안가져가시면 먹어버릴꾸?? 함냐함냐함!!!! 퇴근에 눈멀어 박스사진은 안찍었어여 어떤거 말하는지 아실거라믿어용? 그럼 좋은 하루되세욥?

(p.s알바모집 중입니다ㅜㅜ 많은지원부탁드려여ㅜㅜ) :] 김나예 말투너냐? :] ㅋ ㅋ ㅋ ㅋ  ㅋ ㅋ ㅋ ㅋ 말투 씝할 난데? ㅎㅁㅎ :] 무지막지한 마감속도를 보앗지 :] 최지윤 너냐? :] 김하늘 :] 진광준 너야?ㅋㅋㅋㅋㅋ :] 이효정 건축냠냠 :] 그건 제가 굉장히sick했기 때문 :] ㅎㅎㅎㅎ^^~ :] 워우~!  (댑을한다) :] 이경은 이거니냐?말투 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅈㄴ웃ㄱ기네 함냐함냐함 :] ㅋㅋㅋㅋㅋㅋㅋ나 아닌골 ㅎ :] 양형석 형님 저희 깜빡하고 두고간거같습니다 ㅋㅋㅋㅋㅋㅋㅋ :] 헐맞닼ㅋㅋㅋㅋㅋㅋㅋㅋ :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 내일까지라니까.. 금욜날찾으면될듯합니다 :] ㅇㅋㅇㅋㅇㅋ :] 최지윤 시박 :] 희희 :] ㅇㅈ"
147,2017-05-24 21:05:56,5,"ㅡ익명제보ㅡ

과학생회 신청해볼까하는데 정확히 무슨일을 하는지 잘 모르겠어서요! 왠지 선배님께 물어보긴 부끄럽구..대체로 무슨일을 하나요? 막 신환회가고, 엠티게획하고 보살피고? 뭐 이런건 알겠는데 더 무슨일을 하나요? 과학생회하시는분들 대답해쥬시면 정말 감사하겠습니당...?

+일은 잘 할 수 있긴한데, 뭐랄까 제가 엄청난 친화력을 가진건 아니거든요.. 그렇게 막 술을 즐겨마시지도 않구..그러면 하기힘들까요..? :] 윤석환 저런 부끄럼쟁이!! 선배님이 빨리 조언해주라고요 :] 민수홍 권나경 김명희 전찬수 신은지 서로현 음 그냥 죽어라고 일만 하고 교수님 눈치보면 되는데 ㅎ :] 그렇지그렇지 :] 스트ㅔ스는마니받아여 :] 영어과 아니면 해볼만해 :] 과를 대표해서  욕먹고 칭찬받고 그런거지 뭐~ :] 지나가던 의상과 학회장 :] 그냥 교수님과의 눈치게임 :] ?홧팅 :] 김현아 이다한 심기훈 뭔가 사복과 같은 느낌적인 느낌 :] 앜ㅋㅋㅋ기여워 ㅋㅋㅋㅋㅋ :] 사복과 학생회는 책임감이 강하면 되요! 맡은일만 하는게 아니라 서로의 일 도와주고 누가 시키지않아도 솔선수범해서 나서줄 분이었음 좋겠어요 ㅎㅎ :] 지원하면 면접위주로 보니까 망설이지 마시고 지원 ㄲ!?? :] 술 못마셔두대여! 학생회 행사때 술 못먹어여 케어해야대서 ㅎㅎ"
148,2017-05-24 19:25:02,3,"ㅡ강수진님 제보ㅡ

배양관 309호에 무선마우스 검정색 발견하신분!!! 저한테 페메주세요 부탁드려요?????????? :] 저한테페메주세요? :] 수진이또잃어버림? :] 인생.........................."
149,2017-05-24 17:25:04,0,"ㅡ익명제보ㅡ

내일 학교 10시쯤 차끌고가야할거같은데 군휴학때문에
혹시 잠깐 주차가능한곳있나요?~"
150,2017-05-24 17:24:20,1,"ㅡ익명제보ㅡ

키크시고 검정색가방 그물에 스티치인형넣고 다니시는 남성분 어느과인지알수있을까요??? :] 주종환 너아니야? :] 네. 레크리이에이션과 17학번 카리스마 담당 주종환이라고 합니다 :] Whdghks6 카톡아디요^^ :] ㅋㅋㅋㅋ종환아 진짜니냐? :] 배성빈이새키 인기왜캐많아;; :] 주영 길민영 민영이가 어제 좋다고 좋다고 하더니 결국 제보 했네,, :] 참으라니까 :] 예래 언니 저 밑에 태그 당한 분도 민영이가 잘생겼다고 한 분이잖아 :] 길민영 민영아 뭐라고?밑에 주종환분 계속 지켜보고 있엇다고? :] 길민영 예래 네 토목과 16학번 길민영입니다 :] 길민영 민영이 저번에 배양관에서 마술 보여주는거 보고 맘에 들었다고 하더니,,, :] 하 운명이다 :] 정승현 종환이 까부는게 츼미잖냐 :] 이준 너임?? :] 키크시고부터나아님 :] 또르르 ㅠㅠ :] 흑ㅜ :] 배성빈쉿!! 종환이신분세탁햇잖아 더이상까면안되 :] 홍준택 :] 아형ㅋㅋㅋㅋㅋㄱㄲㅋㅋ :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :] 축하한다 :] 키큰건 제가 아닐까요 :] 왜나대 :] 이태훈 이거 딱 너네"
151,2017-05-24 15:02:30,3,"ㅡ총학생회 제보ㅡ

정문 경비실에서 반지 찾아달라고 하셨던 학생분 경비 아저씨께서 찾아주셔셔 저희 총학생회에서 보관중입니다! 주인이신분은 찾아가주세요~"
152,2017-05-24 15:01:34,1,"ㅡ변재성님 제보ㅡ

안녕하세요. 저는 서일대학교 시각디자인과 3학년 변재성학생입니다. 

저는 '쉐어하우스'를 주제로 어플디자인을 하는데 디자인 참고사항으로 인터뷰를 진행하고 있습니다.                                            

대상은 자취생과 쉐어하우스 경험자구요.                         

 1. https://goo.gl/forms/lbi8fN0NXp4JV0qd2                

 2. https://goo.gl/forms/pAcp6hUI9PuPusKD3   

 <   1번은 자취생 2번은 쉐어하우스 경험자입니다. >  

 <   답변 끝나시면 제출만 해주시면 됩니다. >

다들 바쁘시지만 관심있는 분들은 참여부탁드릴게요. 좋은 하루되세요. 감사합니다. ^^"
153,2017-05-24 14:49:32,0,"ㅡ조태호님 제보ㅡ

배양관 407호 또는 605호에서 필통 보신분 있으시면 연락주세요... 원통모양입니다..."
154,2017-05-24 14:49:02,1,"ㅡ이웅재님 제보ㅡ

신한카드 잃어 버리신 엄관섭님 배양관 5층에서 주워서 가지고있습니다 페메주세요~ :] 엄관섭 :] 누가 주으신거죠? :] 민종아 니가 주운서니? :] 주으신분 제 댓글에 댓글좀 달아주실래요? :] 아니욥 그냥 형이름 올라왔길래. :] 페메 보내드렸습니다! :] 고맙다잉 니가 링크해줘서 페메 보내서 찾았어 ㅋㅋㅋ"
155,2017-05-24 14:48:43,0,"ㅡ김희선님 제보ㅡ

배양관 2층여자화장실에서 주웠는데 지금 수업이라 제가 가지고 있습니다 쉬는시간까지 연락 없으시면 2층정보관리지원실에 맡겨둘께요 ^^"
156,2017-05-24 12:58:37,3,"ㅡ코인조이 제보ㅡ

커뮤니케이션디자인학과
차우림 학생~ 지갑 보관중요~~! :] 차유림 너임?? :] 차우림이라고잇음 :] 나일리가ㅎ :] 차우림 우림찡 :] ㅋㅋㅋㅋㅋ받았당ㅋㅋㅋㅋ?"
157,2017-05-24 12:58:03,0,"ㅡ익명제보ㅡ

혹시 필교 3.4교시 인성 윤영원교수님 수업시간에 뭐뭐했는지 맨날 적으신 분 계신가요ㅠ 제발 댓글이나 페메주세요ㅜ 맛있는거 사드릴게요~~ㅠㅠ :] 유언장 제출하고 오늘은 고독사 영상 이어서보고, 마지막에 토론으로 5년후 10년 15년 20년후까지 얘기하고 다음주는 그 내주신 과제하러 가는날이라서 공강이라고 6월달에 오면된다고 하셧어엿"
158,2017-05-24 12:57:47,9,"ㅡ익명제보ㅡ

학교 앞에서 이단교회 분들이 과제 발표라고 하시면서 전도하고 있어요 여자 두 분이구 조심하세요 ~! :] Su Chae 형 이단심판관 이잖아요 :] 김병국 박윤성 임현우 장원빈 병국아 가서 처리해줘 그 도를 아십니까 사람들 :] ㅋㅋㅋ뭐하냐 :] Sanha Lee 후문으로 가다가 동아리 발표라고 들어달라해서 들어줬는데.. 근데 설명잘하시더ㅏ라..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :] 김하영 조심해요~~! :] 구래 :3 :] 이승선 우리 저번에 무슨 교회 그런거 비슷한건가? :] 어머어머 그러니까 그냥 무시하고 가야한다공"
159,2017-05-24 12:57:23,61,"ㅡ익명제보ㅡ

경비아저씨 제보요~! :] 오서현 :] 총학생회에서 보관중입니다~ :] 우왕.."
